audio_fileNames,label_fileNames,acoustic_scene_label,events_label_list
bus10_0.wav,bus10_0.jams,bus,"['clearthroat', 'phone']"
bus10_1.wav,bus10_1.jams,bus,['speech']
bus10_2.wav,bus10_2.jams,bus,"['phone', 'laughter', 'speech', 'clearthroat', 'speech', 'laughter', 'keys', 'cough', 'keys', 'speech', 'speech', 'laughter', 'laughter', 'clearthroat', 'clearthroat', 'laughter', 'cough', 'phone', 'phone']"
bus10_3.wav,bus10_3.jams,bus,"['speech', 'keys', 'keys', 'laughter', 'speech', 'phone', 'speech', 'speech', 'cough', 'speech', 'clearthroat', 'cough', 'cough']"
bus10_4.wav,bus10_4.jams,bus,"['laughter', 'keys']"
bus10_5.wav,bus10_5.jams,bus,"['keys', 'clearthroat', 'keys', 'cough', 'laughter', 'keys', 'clearthroat']"
bus10_6.wav,bus10_6.jams,bus,"['phone', 'speech', 'speech', 'phone', 'keys', 'cough', 'phone', 'phone', 'clearthroat', 'laughter', 'laughter', 'speech', 'keys', 'keys', 'laughter', 'cough', 'speech']"
bus10_7.wav,bus10_7.jams,bus,"['cough', 'clearthroat', 'cough', 'phone', 'cough', 'laughter', 'phone', 'cough', 'phone', 'laughter', 'laughter', 'cough', 'phone', 'keys']"
bus10_8.wav,bus10_8.jams,bus,"['laughter', 'laughter', 'clearthroat', 'speech', 'keys', 'speech', 'clearthroat', 'cough', 'cough', 'speech', 'laughter', 'keys', 'cough']"
bus10_9.wav,bus10_9.jams,bus,"['clearthroat', 'cough', 'laughter', 'clearthroat', 'speech', 'laughter', 'keys', 'laughter', 'keys', 'keys', 'clearthroat', 'clearthroat', 'speech']"
bus10_downshift_0.wav,bus10_downshift_0.jams,bus,"['clearthroat', 'phone']"
bus10_downshift_1.wav,bus10_downshift_1.jams,bus,['speech']
bus10_downshift_2.wav,bus10_downshift_2.jams,bus,"['phone', 'laughter', 'speech', 'clearthroat', 'speech', 'laughter', 'keys', 'cough', 'keys', 'speech', 'speech', 'laughter', 'laughter', 'clearthroat', 'clearthroat', 'laughter', 'cough', 'phone', 'phone']"
bus10_downshift_3.wav,bus10_downshift_3.jams,bus,"['speech', 'keys', 'keys', 'laughter', 'speech', 'phone', 'speech', 'speech', 'cough', 'speech', 'clearthroat', 'cough', 'cough']"
bus10_downshift_4.wav,bus10_downshift_4.jams,bus,"['laughter', 'keys']"
bus10_downshift_5.wav,bus10_downshift_5.jams,bus,"['keys', 'clearthroat', 'keys', 'cough', 'laughter', 'keys', 'clearthroat']"
bus10_downshift_6.wav,bus10_downshift_6.jams,bus,"['phone', 'speech', 'speech', 'phone', 'keys', 'cough', 'phone', 'phone', 'clearthroat', 'laughter', 'laughter', 'speech', 'keys', 'keys', 'laughter', 'cough', 'speech']"
bus10_downshift_7.wav,bus10_downshift_7.jams,bus,"['cough', 'clearthroat', 'cough', 'phone', 'cough', 'laughter', 'phone', 'cough', 'phone', 'laughter', 'laughter', 'cough', 'phone', 'keys']"
bus10_downshift_8.wav,bus10_downshift_8.jams,bus,"['laughter', 'laughter', 'clearthroat', 'speech', 'keys', 'speech', 'clearthroat', 'cough', 'cough', 'speech', 'laughter', 'keys', 'cough']"
bus10_downshift_9.wav,bus10_downshift_9.jams,bus,"['clearthroat', 'cough', 'laughter', 'clearthroat', 'speech', 'laughter', 'keys', 'laughter', 'keys', 'keys', 'clearthroat', 'clearthroat', 'speech']"
bus10_upshift_0.wav,bus10_upshift_0.jams,bus,"['clearthroat', 'phone']"
bus10_upshift_1.wav,bus10_upshift_1.jams,bus,['speech']
bus10_upshift_2.wav,bus10_upshift_2.jams,bus,"['phone', 'laughter', 'speech', 'clearthroat', 'speech', 'laughter', 'keys', 'cough', 'keys', 'speech', 'speech', 'laughter', 'laughter', 'clearthroat', 'clearthroat', 'laughter', 'cough', 'phone', 'phone']"
bus10_upshift_3.wav,bus10_upshift_3.jams,bus,"['speech', 'keys', 'keys', 'laughter', 'speech', 'phone', 'speech', 'speech', 'cough', 'speech', 'clearthroat', 'cough', 'cough']"
bus10_upshift_4.wav,bus10_upshift_4.jams,bus,"['laughter', 'keys']"
bus10_upshift_5.wav,bus10_upshift_5.jams,bus,"['keys', 'clearthroat', 'keys', 'cough', 'laughter', 'keys', 'clearthroat']"
bus10_upshift_6.wav,bus10_upshift_6.jams,bus,"['phone', 'speech', 'speech', 'phone', 'keys', 'cough', 'phone', 'phone', 'clearthroat', 'laughter', 'laughter', 'speech', 'keys', 'keys', 'laughter', 'cough', 'speech']"
bus10_upshift_7.wav,bus10_upshift_7.jams,bus,"['cough', 'clearthroat', 'cough', 'phone', 'cough', 'laughter', 'phone', 'cough', 'phone', 'laughter', 'laughter', 'cough', 'phone', 'keys']"
bus10_upshift_8.wav,bus10_upshift_8.jams,bus,"['laughter', 'laughter', 'clearthroat', 'speech', 'keys', 'speech', 'clearthroat', 'cough', 'cough', 'speech', 'laughter', 'keys', 'cough']"
bus10_upshift_9.wav,bus10_upshift_9.jams,bus,"['clearthroat', 'cough', 'laughter', 'clearthroat', 'speech', 'laughter', 'keys', 'laughter', 'keys', 'keys', 'clearthroat', 'clearthroat', 'speech']"
bus1_0.wav,bus1_0.jams,bus,"['keys', 'laughter', 'keys', 'phone', 'cough']"
bus1_1.wav,bus1_1.jams,bus,"['phone', 'cough', 'speech', 'laughter', 'keys', 'clearthroat', 'keys', 'speech', 'keys', 'clearthroat']"
bus1_2.wav,bus1_2.jams,bus,"['keys', 'phone', 'keys', 'phone', 'cough', 'keys', 'keys', 'laughter', 'laughter', 'clearthroat', 'phone', 'phone', 'cough']"
bus1_3.wav,bus1_3.jams,bus,"['keys', 'laughter', 'laughter', 'speech', 'speech', 'cough', 'phone', 'keys', 'clearthroat', 'keys', 'clearthroat', 'phone', 'cough', 'laughter', 'cough', 'keys', 'laughter', 'cough']"
bus1_4.wav,bus1_4.jams,bus,"['speech', 'cough', 'speech', 'clearthroat', 'keys', 'laughter', 'phone', 'keys', 'cough', 'clearthroat', 'speech', 'speech']"
bus1_5.wav,bus1_5.jams,bus,"['laughter', 'cough', 'clearthroat', 'laughter', 'cough', 'phone', 'keys', 'laughter', 'keys', 'clearthroat']"
bus1_6.wav,bus1_6.jams,bus,"['laughter', 'phone', 'laughter', 'clearthroat', 'phone', 'clearthroat', 'cough', 'cough', 'keys', 'laughter', 'keys', 'speech', 'phone', 'phone', 'laughter', 'cough', 'phone']"
bus1_7.wav,bus1_7.jams,bus,"['keys', 'phone', 'clearthroat', 'laughter', 'laughter', 'speech', 'clearthroat', 'laughter', 'keys', 'speech', 'speech', 'cough', 'clearthroat', 'laughter', 'cough', 'keys', 'speech']"
bus1_8.wav,bus1_8.jams,bus,"['speech', 'speech', 'laughter', 'clearthroat', 'phone', 'cough', 'phone', 'phone', 'keys', 'clearthroat', 'speech', 'cough']"
bus1_9.wav,bus1_9.jams,bus,"['cough', 'cough', 'cough', 'clearthroat', 'clearthroat', 'cough', 'laughter', 'laughter', 'speech', 'cough', 'phone', 'cough', 'keys', 'phone']"
bus1_downshift_0.wav,bus1_downshift_0.jams,bus,"['keys', 'laughter', 'keys', 'phone', 'cough']"
bus1_downshift_1.wav,bus1_downshift_1.jams,bus,"['phone', 'cough', 'speech', 'laughter', 'keys', 'clearthroat', 'keys', 'speech', 'keys', 'clearthroat']"
bus1_downshift_2.wav,bus1_downshift_2.jams,bus,"['keys', 'phone', 'keys', 'phone', 'cough', 'keys', 'keys', 'laughter', 'laughter', 'clearthroat', 'phone', 'phone', 'cough']"
bus1_downshift_3.wav,bus1_downshift_3.jams,bus,"['keys', 'laughter', 'laughter', 'speech', 'speech', 'cough', 'phone', 'keys', 'clearthroat', 'keys', 'clearthroat', 'phone', 'cough', 'laughter', 'cough', 'keys', 'laughter', 'cough']"
bus1_downshift_4.wav,bus1_downshift_4.jams,bus,"['speech', 'cough', 'speech', 'clearthroat', 'keys', 'laughter', 'phone', 'keys', 'cough', 'clearthroat', 'speech', 'speech']"
bus1_downshift_5.wav,bus1_downshift_5.jams,bus,"['laughter', 'cough', 'clearthroat', 'laughter', 'cough', 'phone', 'keys', 'laughter', 'keys', 'clearthroat']"
bus1_downshift_6.wav,bus1_downshift_6.jams,bus,"['laughter', 'phone', 'laughter', 'clearthroat', 'phone', 'clearthroat', 'cough', 'cough', 'keys', 'laughter', 'keys', 'speech', 'phone', 'phone', 'laughter', 'cough', 'phone']"
bus1_downshift_7.wav,bus1_downshift_7.jams,bus,"['keys', 'phone', 'clearthroat', 'laughter', 'laughter', 'speech', 'clearthroat', 'laughter', 'keys', 'speech', 'speech', 'cough', 'clearthroat', 'laughter', 'cough', 'keys', 'speech']"
bus1_downshift_8.wav,bus1_downshift_8.jams,bus,"['speech', 'speech', 'laughter', 'clearthroat', 'phone', 'cough', 'phone', 'phone', 'keys', 'clearthroat', 'speech', 'cough']"
