lake,motorbike,mindthegap,speech,laughter,footstepsongrass,keylock,switch,trolley,keys,knock,train,cooking,cough,pushbike,doorslam,buspassby,checkoutbeeps,drawer,phone,doorclose,lightrain,running,gate,birdsong,footsteps,money,clearthroat,slidingDoorclose,wind,chairsmoving,bagrustle
[[0.6716185]],[[0.677933]],[[0.61148584]],[[5.9604645e-08]],[[0.43533218]],[[0.5757936]],[[0.6847805]],[[0.68905354]],[[0.7312952]],[[0.68387073]],[[0.57246006]],[[0.58227026]],[[0.677624]],[[0.5693457]],[[0.7540209]],[[0.69219106]],[[0.736314]],[[0.70217836]],[[0.7741482]],[[0.610203]],[[0.67275214]],[[0.6793766]],[[0.5704776]],[[0.66892695]],[[0.5932433]],[[0.57742316]],[[0.5623861]],[[0.7107177]],[[0.7401567]],[[0.6521193]],[[0.67483723]],[[0.78192437]]
[[0.6562916]],[[0.67554855]],[[0.65623164]],[[0.2845022]],[[0.51694757]],[[0.59377056]],[[0.681059]],[[0.6902783]],[[0.7754184]],[[0.693207]],[[0.6235556]],[[0.6614665]],[[0.70212764]],[[0.5921657]],[[0.7522865]],[[0.69378686]],[[0.7145483]],[[0.689507]],[[0.7850607]],[[0.65156907]],[[0.71282154]],[[0.7255972]],[[0.6282041]],[[0.6765475]],[[0.59207]],[[0.6092799]],[[0.60334635]],[[0.72894937]],[[0.75597894]],[[0.6953234]],[[0.6955998]],[[0.7768664]]
[[0.6687969]],[[0.6882577]],[[0.66761386]],[[0.2727977]],[[0.51692605]],[[0.61675644]],[[0.7040571]],[[0.70401454]],[[0.7770885]],[[0.72202086]],[[0.63623065]],[[0.6322336]],[[0.66715217]],[[0.62385225]],[[0.7694767]],[[0.71619004]],[[0.74945945]],[[0.7217827]],[[0.7545675]],[[0.670683]],[[0.74610096]],[[0.7210049]],[[0.6141063]],[[0.68357074]],[[0.6230681]],[[0.6064528]],[[0.6141253]],[[0.7724029]],[[0.7874725]],[[0.6824474]],[[0.68938947]],[[0.7991376]]
[[0.71074414]],[[0.66634005]],[[0.6306127]],[[0.2778446]],[[0.5199239]],[[0.6160125]],[[0.65130186]],[[0.66948557]],[[0.7185262]],[[0.6665069]],[[0.5897924]],[[0.59539646]],[[0.66029894]],[[0.60660744]],[[0.7116473]],[[0.69800085]],[[0.74066484]],[[0.67166567]],[[0.72394496]],[[0.5971943]],[[0.6761266]],[[0.6923905]],[[0.6296727]],[[0.6484935]],[[0.6295216]],[[0.6090372]],[[0.614468]],[[0.7691743]],[[0.7289164]],[[0.7013854]],[[0.6817129]],[[0.7705735]]
[[0.6247078]],[[0.74765277]],[[0.6281357]],[[0.34784877]],[[0.44693756]],[[0.63267136]],[[0.6813867]],[[0.60792077]],[[0.69431865]],[[0.7172686]],[[0.60990244]],[[0.550367]],[[0.6200605]],[[0.6465713]],[[0.7667049]],[[0.7138976]],[[0.7109577]],[[0.76123536]],[[0.7039943]],[[0.48130834]],[[0.67604053]],[[0.6900355]],[[0.5965954]],[[0.6620336]],[[0.63397515]],[[0.5932644]],[[0.5485464]],[[0.75462186]],[[0.72058314]],[[0.70214826]],[[0.6349859]],[[0.74168587]]
[[0.7081762]],[[0.6504334]],[[0.5580344]],[[0.3699695]],[[0.5631875]],[[0.52015626]],[[0.6741428]],[[0.6251407]],[[0.6787437]],[[0.70105237]],[[0.6214034]],[[0.64580405]],[[0.6656907]],[[0.59623396]],[[0.71192473]],[[0.636762]],[[0.7066491]],[[0.72055316]],[[0.71066654]],[[0.64536774]],[[0.6619016]],[[0.71483666]],[[0.601791]],[[0.66024196]],[[0.62112415]],[[0.56247026]],[[0.6634127]],[[0.70379895]],[[0.7240231]],[[0.7012731]],[[0.7059227]],[[0.68947434]]
[[0.7287868]],[[0.68231344]],[[0.59021634]],[[0.4442804]],[[0.52682114]],[[0.6420007]],[[0.78650117]],[[0.7274405]],[[0.8632333]],[[0.7716217]],[[0.6144951]],[[0.70948577]],[[0.6920625]],[[0.60714287]],[[0.7136633]],[[0.75074816]],[[0.7164859]],[[0.6974336]],[[0.75291556]],[[0.73459285]],[[0.76622635]],[[0.73624825]],[[0.63354844]],[[0.7146965]],[[0.55623657]],[[0.6540295]],[[0.6910558]],[[0.70151013]],[[0.7484846]],[[0.6889628]],[[0.7306998]],[[0.67508954]]
[[0.7175769]],[[0.6784353]],[[0.6393111]],[[0.35963064]],[[0.6319289]],[[0.5802019]],[[0.65399754]],[[0.73691714]],[[0.7604241]],[[0.65869933]],[[0.67243963]],[[0.65449095]],[[0.7637596]],[[0.6066139]],[[0.7406344]],[[0.6375681]],[[0.75095236]],[[0.6848376]],[[0.77719617]],[[0.6039084]],[[0.7332732]],[[0.73523384]],[[0.68587315]],[[0.6778859]],[[0.57459295]],[[0.6637655]],[[0.70219076]],[[0.73690736]],[[0.74850994]],[[0.719586]],[[0.7903471]],[[0.81425357]]
[[0.7101891]],[[0.7110448]],[[0.6950784]],[[0.4661479]],[[0.48765266]],[[0.659746]],[[0.74015707]],[[0.56418085]],[[0.77110976]],[[0.7411922]],[[0.51215446]],[[0.63460517]],[[0.71209025]],[[0.5895962]],[[0.66956764]],[[0.63219047]],[[0.78307617]],[[0.64083207]],[[0.78252816]],[[0.62614596]],[[0.7078575]],[[0.6964352]],[[0.63363904]],[[0.6855708]],[[0.63424194]],[[0.63532126]],[[0.651373]],[[0.6730732]],[[0.79760075]],[[0.6782783]],[[0.75204504]],[[0.710812]]
[[0.7035527]],[[0.6965153]],[[0.67180425]],[[0.57211936]],[[0.5530342]],[[0.6436807]],[[0.71140933]],[[0.6666899]],[[0.696961]],[[0.68132114]],[[0.6022583]],[[0.64173955]],[[0.66066355]],[[0.5765079]],[[0.71732676]],[[0.6274215]],[[0.69032145]],[[0.707044]],[[0.7228888]],[[0.58997613]],[[0.64560664]],[[0.58482796]],[[0.6681608]],[[0.6486541]],[[0.61590505]],[[0.65969527]],[[0.6356379]],[[0.70534045]],[[0.73496747]],[[0.6224695]],[[0.7045353]],[[0.609649]]
