cough,pushbike,drawer,cooking,keys,slidingDoorclose,train,lake,switch,buspassby,footstepsongrass,lightrain,chairsmoving,doorclose,knock,mindthegap,motorbike,birdsong,keylock,wind,trolley,bagrustle,laughter,footsteps,gate,checkoutbeeps,running,doorslam,speech,clearthroat,money,phone
[[0.7563293]],[[0.8429996]],[[0.75205314]],[[0.7914173]],[[0.9079941]],[[0.9101342]],[[0.71184695]],[[0.8289977]],[[0.8130102]],[[0.7933421]],[[0.74721193]],[[0.8105541]],[[0.80382085]],[[0.81203514]],[[0.81706303]],[[0.78327185]],[[0.7788305]],[[0.6687067]],[[0.82953125]],[[0.7160486]],[[0.77313316]],[[0.7319863]],[[0.67077255]],[[0.71564233]],[[0.77665555]],[[0.8686908]],[[0.7364251]],[[0.73811406]],[[0.]],[[0.81877446]],[[0.7015343]],[[0.67190963]]
[[0.91655874]],[[0.9518111]],[[0.93881756]],[[0.9602296]],[[0.9525839]],[[1.0200492]],[[0.92933685]],[[1.0101438]],[[0.9220725]],[[0.9349264]],[[0.8611859]],[[0.9729323]],[[0.89101046]],[[0.9714403]],[[0.97547925]],[[0.89770633]],[[0.91524106]],[[0.8353151]],[[0.9656361]],[[0.86985624]],[[0.9402982]],[[0.89543664]],[[0.8748293]],[[0.8571938]],[[0.9161197]],[[0.96655434]],[[0.9556084]],[[0.8843993]],[[0.38423085]],[[0.9192577]],[[0.9229332]],[[0.84292316]]
[[0.9465902]],[[0.98772347]],[[0.9208555]],[[0.9990565]],[[0.98753047]],[[1.0083239]],[[0.9342185]],[[1.0024817]],[[0.9513892]],[[0.98212826]],[[0.9051931]],[[0.97301334]],[[0.93554676]],[[0.9752612]],[[0.95555973]],[[0.9868364]],[[0.9353621]],[[0.83860624]],[[0.96753186]],[[0.8780491]],[[0.9683309]],[[0.8817371]],[[0.88638127]],[[0.914225]],[[0.9219795]],[[1.0132515]],[[0.9726168]],[[0.90335935]],[[0.40107548]],[[0.92505974]],[[0.95666784]],[[0.87548035]]
[[0.85512054]],[[0.8822894]],[[0.82558125]],[[0.92248]],[[0.9565625]],[[0.93041325]],[[0.8377365]],[[0.95517534]],[[0.88103056]],[[0.8876419]],[[0.8149088]],[[0.8891175]],[[0.88059294]],[[0.8928142]],[[0.91782665]],[[0.82473445]],[[0.86846113]],[[0.76428497]],[[0.9008117]],[[0.793815]],[[0.8486205]],[[0.8362493]],[[0.77328825]],[[0.785353]],[[0.86183]],[[0.90909475]],[[0.9108939]],[[0.8408094]],[[0.34252465]],[[0.8741906]],[[0.84810615]],[[0.75800717]]
[[0.72541827]],[[0.84592915]],[[0.7595324]],[[0.71704745]],[[0.80267316]],[[0.9303813]],[[0.7218387]],[[0.86408]],[[0.7708351]],[[0.8753438]],[[0.86683047]],[[0.82355404]],[[0.8205708]],[[0.79682195]],[[0.7340584]],[[0.77971715]],[[0.809837]],[[0.7318734]],[[0.8102173]],[[0.6842265]],[[0.7803736]],[[0.78411347]],[[0.61699224]],[[0.80309117]],[[0.79400355]],[[0.8530304]],[[0.75585115]],[[0.75645185]],[[0.41664183]],[[0.876175]],[[0.6688831]],[[0.57001686]]
[[0.7910127]],[[0.83602214]],[[0.752264]],[[0.7686715]],[[0.9189895]],[[0.82877284]],[[0.7648215]],[[0.8303327]],[[0.8006805]],[[0.86270607]],[[0.84213966]],[[0.89716923]],[[0.78742135]],[[0.77708805]],[[0.8914408]],[[0.79758495]],[[0.7930856]],[[0.7733474]],[[0.8671961]],[[0.7151911]],[[0.73584193]],[[0.81973916]],[[0.6985309]],[[0.8203136]],[[0.8717147]],[[0.8852788]],[[0.7569239]],[[0.7759414]],[[0.4352303]],[[0.856917]],[[0.7633076]],[[0.7906599]]
[[0.740546]],[[0.7570088]],[[0.83558977]],[[0.6387759]],[[0.86354154]],[[0.7996737]],[[0.77552044]],[[0.910047]],[[0.81387293]],[[0.86404973]],[[0.7973459]],[[0.86875606]],[[0.80144066]],[[0.74141073]],[[0.7528903]],[[0.7280575]],[[0.80429965]],[[0.56703305]],[[0.94914156]],[[0.79217]],[[0.8196176]],[[0.7284027]],[[0.565872]],[[0.7631346]],[[0.7400154]],[[0.8067676]],[[0.7284868]],[[0.8085387]],[[0.6211324]],[[0.90212524]],[[0.69268775]],[[0.754153]]
[[0.89859176]],[[0.90834284]],[[0.86362267]],[[0.84761745]],[[0.92936736]],[[0.860426]],[[0.85101]],[[0.93256694]],[[0.85719776]],[[0.90683746]],[[0.70878494]],[[0.9463663]],[[0.9238853]],[[0.83980644]],[[0.9456319]],[[0.91855955]],[[0.8491014]],[[0.7193121]],[[0.86308414]],[[0.8609489]],[[0.9683399]],[[0.8851938]],[[0.8563619]],[[0.7467228]],[[0.87085426]],[[0.93698806]],[[0.90023106]],[[0.80904126]],[[0.44486022]],[[0.8754756]],[[0.8568789]],[[0.7947438]]
[[0.70483047]],[[0.71030205]],[[0.90991473]],[[0.85857373]],[[0.77332234]],[[0.8996244]],[[0.6829436]],[[0.78948283]],[[0.745086]],[[0.7731914]],[[0.6996255]],[[0.7268736]],[[0.85025233]],[[0.7761376]],[[0.5586966]],[[0.6943745]],[[0.806726]],[[0.623533]],[[0.8689248]],[[0.7242515]],[[0.7157359]],[[0.7496118]],[[0.6698394]],[[0.6550373]],[[0.7597639]],[[0.73999095]],[[0.6490325]],[[0.699386]],[[0.5954124]],[[0.78705716]],[[0.72298336]],[[0.71224993]]
[[0.6367185]],[[0.8222711]],[[0.88151443]],[[0.72998136]],[[0.73772365]],[[0.8920549]],[[0.6456259]],[[0.81621206]],[[0.72893083]],[[0.74245393]],[[0.838065]],[[0.73407084]],[[0.78540176]],[[0.715773]],[[0.5564327]],[[0.6170784]],[[0.7921026]],[[0.653792]],[[0.7307633]],[[0.6757221]],[[0.74525976]],[[0.7141829]],[[0.7035892]],[[0.81687117]],[[0.6644496]],[[0.77759326]],[[0.710863]],[[0.7411993]],[[0.75493956]],[[0.7771325]],[[0.7068745]],[[0.6824335]]
