airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
[[0.44500858]],[[0.]],[[0.44897103]],[[0.51701355]],[[0.570608]],[[0.6678418]],[[0.61372274]],[[0.5561604]],[[0.558812]],[[0.30302346]]
[[0.6533866]],[[0.5191777]],[[0.6053889]],[[0.62173045]],[[0.6409673]],[[0.6748071]],[[0.4731632]],[[0.57769245]],[[0.49492645]],[[0.6314055]]
[[0.5602579]],[[0.6008407]],[[0.5779165]],[[0.6302589]],[[0.6095437]],[[0.71624917]],[[0.6533545]],[[0.72193676]],[[0.71870464]],[[0.618249]]
[[0.5228181]],[[0.6559249]],[[0.61030555]],[[0.6616736]],[[0.6791891]],[[0.6336493]],[[0.62425035]],[[0.7053625]],[[0.661092]],[[0.69111204]]
[[0.5190761]],[[0.570608]],[[0.59462684]],[[0.5799019]],[[0.]],[[0.5889856]],[[0.52791846]],[[0.6186142]],[[0.6751635]],[[0.5460261]]
[[0.6883523]],[[0.65356624]],[[0.63787556]],[[0.66980696]],[[0.64475363]],[[0.6622069]],[[0.5501107]],[[0.6317034]],[[0.57718366]],[[0.6682646]]
[[0.5630471]],[[0.5269964]],[[0.62955797]],[[0.62123626]],[[0.5365295]],[[0.69106764]],[[0.53193086]],[[0.6694387]],[[0.6790508]],[[0.6046682]]
[[0.54287314]],[[0.54101336]],[[0.54825705]],[[0.5700641]],[[0.5473992]],[[0.6659119]],[[0.38583636]],[[0.6123327]],[[0.6605884]],[[0.5623369]]
[[0.6722414]],[[0.6504031]],[[0.6807265]],[[0.6834584]],[[0.7263818]],[[0.7786652]],[[0.6775515]],[[0.75839853]],[[0.7261298]],[[0.62195754]]
[[0.68347514]],[[0.6580833]],[[0.6589986]],[[0.627064]],[[0.67876834]],[[0.7562269]],[[0.62872773]],[[0.7588535]],[[0.734939]],[[0.64494157]]
