airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
[[0.3073454]],[[0.]],[[0.38962287]],[[0.41477698]],[[0.3483404]],[[0.30922008]],[[0.5064995]],[[0.3489462]],[[0.36587483]],[[0.27467275]]
[[0.38462532]],[[0.31914008]],[[0.39756048]],[[0.42295063]],[[0.46219784]],[[0.34064436]],[[0.40453494]],[[0.2920071]],[[0.19351381]],[[0.3698321]]
[[0.33808172]],[[0.33831412]],[[0.3723948]],[[0.34900522]],[[0.40499568]],[[0.3460282]],[[0.40122777]],[[0.46528643]],[[0.46136004]],[[0.3138106]]
[[0.23643655]],[[0.3930965]],[[0.3221141]],[[0.31847525]],[[0.2687422]],[[0.23801816]],[[0.333853]],[[0.31006914]],[[0.35495174]],[[0.35503566]]
[[0.24457502]],[[0.3483404]],[[0.3543805]],[[0.3579936]],[[0.]],[[0.23353541]],[[0.4552176]],[[0.28946167]],[[0.39348996]],[[0.35027307]]
[[0.46325326]],[[0.42317736]],[[0.44809753]],[[0.48115647]],[[0.39257663]],[[0.33643448]],[[0.54147744]],[[0.4166715]],[[0.42320573]],[[0.40749896]]
[[0.3034309]],[[0.45558923]],[[0.36001092]],[[0.36428428]],[[0.34373403]],[[0.3610022]],[[0.30378634]],[[0.36967993]],[[0.3574053]],[[0.40123034]]
[[0.273975]],[[0.44103068]],[[0.3233009]],[[0.29075414]],[[0.37612736]],[[0.32826084]],[[0.2510565]],[[0.3971734]],[[0.38943064]],[[0.3373741]]
[[0.35932016]],[[0.27234006]],[[0.3184557]],[[0.34643948]],[[0.40884924]],[[0.307886]],[[0.5122322]],[[0.44366884]],[[0.4617257]],[[0.17851603]]
[[0.35568702]],[[0.34528923]],[[0.36900616]],[[0.391809]],[[0.4314341]],[[0.37021464]],[[0.5108315]],[[0.47935975]],[[0.4676726]],[[0.25914288]]
