acoustic_scene,event_list
bus,"['clearthroat', 'phone']"
bus,"['speech', 'keys', 'keys', 'laughter', 'speech', 'phone', 'speech', 'speech', 'cough', 'speech', 'clearthroat', 'cough', 'cough']"
bus,"['phone', 'speech', 'speech', 'phone', 'keys', 'cough', 'phone', 'phone', 'clearthroat', 'laughter', 'laughter', 'speech', 'keys', 'keys', 'laughter', 'cough', 'speech']"
bus,"['cough', 'clearthroat', 'cough', 'phone', 'cough', 'laughter', 'phone', 'cough', 'phone', 'laughter', 'laughter', 'cough', 'phone', 'keys']"
bus,"['cough', 'clearthroat', 'cough', 'phone', 'cough', 'laughter', 'phone', 'cough', 'phone', 'laughter', 'laughter', 'cough', 'phone', 'keys']"
bus,"['clearthroat', 'phone']"
bus,"['phone', 'speech', 'speech', 'phone', 'keys', 'cough', 'phone', 'phone', 'clearthroat', 'laughter', 'laughter', 'speech', 'keys', 'keys', 'laughter', 'cough', 'speech']"
bus,"['cough', 'clearthroat', 'cough', 'phone', 'cough', 'laughter', 'phone', 'cough', 'phone', 'laughter', 'laughter', 'cough', 'phone', 'keys']"
bus,"['clearthroat', 'cough', 'laughter', 'clearthroat', 'speech', 'laughter', 'keys', 'laughter', 'keys', 'keys', 'clearthroat', 'clearthroat', 'speech']"
bus,"['keys', 'laughter', 'keys', 'phone', 'cough']"
bus,"['laughter', 'phone', 'laughter', 'clearthroat', 'phone', 'clearthroat', 'cough', 'cough', 'keys', 'laughter', 'keys', 'speech', 'phone', 'phone', 'laughter', 'cough', 'phone']"
bus,"['laughter', 'phone', 'laughter', 'clearthroat', 'phone', 'clearthroat', 'cough', 'cough', 'keys', 'laughter', 'keys', 'speech', 'phone', 'phone', 'laughter', 'cough', 'phone']"
bus,"['keys', 'laughter', 'keys', 'phone', 'cough']"
bus,"['keys', 'phone', 'keys', 'phone', 'cough', 'keys', 'keys', 'laughter', 'laughter', 'clearthroat', 'phone', 'phone', 'cough']"
bus,"['keys', 'laughter', 'laughter', 'speech', 'speech', 'cough', 'phone', 'keys', 'clearthroat', 'keys', 'clearthroat', 'phone', 'cough', 'laughter', 'cough', 'keys', 'laughter', 'cough']"
bus,"['laughter', 'phone', 'laughter', 'clearthroat', 'phone', 'clearthroat', 'cough', 'cough', 'keys', 'laughter', 'keys', 'speech', 'phone', 'phone', 'laughter', 'cough', 'phone']"
bus,"['phone', 'laughter', 'clearthroat', 'phone', 'clearthroat', 'clearthroat', 'keys', 'laughter', 'phone', 'clearthroat', 'laughter']"
bus,"['laughter', 'phone', 'speech', 'speech', 'cough', 'keys', 'speech', 'keys', 'clearthroat', 'cough', 'phone', 'cough', 'laughter', 'speech', 'phone', 'phone', 'cough', 'phone', 'keys']"
bus,"['laughter', 'phone', 'speech', 'speech', 'cough', 'keys', 'speech', 'keys', 'clearthroat', 'cough', 'phone', 'cough', 'laughter', 'speech', 'phone', 'phone', 'cough', 'phone', 'keys']"
